Feature,Coefficient,Importance
numeric__tenure,-1.345811674688,1.345811674688
categorical__Contract_Two year,-0.768143979443145,0.768143979443145
numeric__TotalCharges,0.6382662688457053,0.6382662688457053
categorical__InternetService_DSL,-0.6351110609136567,0.6351110609136567
categorical__Contract_Month-to-month,0.6241256114115051,0.6241256114115051
categorical__InternetService_Fiber optic,0.605549978789252,0.605549978789252
numeric__MonthlyCharges,-0.586012157995201,0.586012157995201
categorical__PaperlessBilling_No,-0.28806147791306635,0.28806147791306635
categorical__Dependents_Yes,-0.25669340243668803,0.25669340243668803
categorical__DeviceProtection_No internet service,-0.25374432973818223,0.25374432973818223
categorical__OnlineSecurity_No internet service,-0.25374432973818223,0.25374432973818223
categorical__InternetService_No,-0.25374432973818223,0.25374432973818223
categorical__OnlineBackup_No internet service,-0.25374432973818223,0.25374432973818223
categorical__TechSupport_No internet service,-0.25374432973818223,0.25374432973818223
categorical__StreamingTV_No internet service,-0.25374432973818223,0.25374432973818223
categorical__StreamingMovies_No internet service,-0.25374432973818223,0.25374432973818223
categorical__MultipleLines_No,-0.24004561921117612,0.24004561921117612
categorical__OnlineSecurity_Yes,-0.23987710691764796,0.23987710691764796
categorical__SeniorCitizen_No,-0.237710361138964,0.237710361138964
categorical__TechSupport_Yes,-0.21946369709463168,0.21946369709463168
numeric__ServiceCount,0.21127752024512766,0.21127752024512766
categorical__OnlineSecurity_No,0.21031602479323308,0.21031602479323308
categorical__PaymentMethod_Bank transfer (automatic),-0.19809088934902983,0.19809088934902983
categorical__PhoneService_Yes,-0.19409184654019315,0.19409184654019315
categorical__TechSupport_No,0.18990261497022862,0.18990261497022862
categorical__PaymentMethod_Electronic check,0.18688426903379227,0.18688426903379227
categorical__StreamingTV_No,-0.1752675486307155,0.1752675486307155
categorical__StreamingMovies_No,-0.1612077057927871,0.1612077057927871
categorical__Partner_Yes,-0.1549172097281667,0.1549172097281667
categorical__PaymentMethod_Credit card (automatic),-0.1544842247999184,0.1544842247999184
categorical__gender_Male,-0.15357240474676423,0.15357240474676423
categorical__StreamingTV_Yes,0.14570646650630859,0.14570646650630859
categorical__Contract_One year,-0.13928704383095372,0.13928704383095372
categorical__StreamingMovies_Yes,0.13164662366838348,0.13164662366838348
categorical__gender_Female,-0.12973300711582225,0.12973300711582225
categorical__Partner_No,-0.1283882021344243,0.1283882021344243
categorical__OnlineBackup_Yes,-0.11906560203128103,0.11906560203128103
categorical__PaymentMethod_Mailed check,-0.11761456674743624,0.11761456674743624
categorical__OnlineBackup_No,0.08950451990688212,0.08950451990688212
categorical__PhoneService_No,-0.08921356532240012,0.08921356532240012
categorical__MultipleLines_No phone service,-0.08921356532240012,0.08921356532240012
categorical__MultipleLines_Yes,0.04595377267098954,0.04595377267098954
categorical__SeniorCitizen_Yes,-0.045595050723621675,0.045595050723621675
categorical__Dependents_No,-0.026612009425906,0.026612009425906
categorical__DeviceProtection_Yes,-0.016180565854669586,0.016180565854669586
categorical__DeviceProtection_No,-0.013380516269738539,0.013380516269738539
categorical__PaperlessBilling_Yes,0.004756066050475285,0.004756066050475285
